rowid,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,species
1,Torgersen,39.1,18.7,181,3750,male,2007,Adelie
2,Torgersen,39.5,17.4,186,3800,female,2007,Adelie
3,Torgersen,40.3,18,195,3250,female,2007,Adelie
4,Torgersen,NA,NA,NA,NA,NA,2007,Adelie
5,Torgersen,36.7,19.3,193,3450,female,2007,Adelie
6,Torgersen,39.3,20.6,190,3650,male,2007,Adelie
7,Torgersen,38.9,17.8,181,3625,female,2007,Adelie
8,Torgersen,39.2,19.6,195,4675,male,2007,Adelie
9,Torgersen,34.1,18.1,193,3475,NA,2007,Adelie
10,Torgersen,42,20.2,190,4250,NA,2007,Adelie
11,Torgersen,37.8,17.1,186,3300,NA,2007,Adelie
12,Torgersen,37.8,17.3,180,3700,NA,2007,Adelie
13,Torgersen,41.1,17.6,182,3200,female,2007,Adelie
14,Torgersen,38.6,21.2,191,3800,male,2007,Adelie
15,Torgersen,34.6,21.1,198,4400,male,2007,Adelie
16,Torgersen,36.6,17.8,185,3700,female,2007,Adelie
17,Torgersen,38.7,19,195,3450,female,2007,Adelie
18,Torgersen,42.5,20.7,197,4500,male,2007,Adelie
19,Torgersen,34.4,18.4,NA,3325,female,2007,Adelie
20,Torgersen,46,21.5,194,4200,male,2007,Adelie
21,Biscoe,37.8,18.3,174,3400,female,2007,Adelie
22,Biscoe,37.7,18.7,180,3600,male,2007,Adelie
23,Biscoe,35.9,19.2,189,3800,female,2007,Adelie
24,Biscoe,38.2,18.1,185,3950,male,2007,Adelie
25,Biscoe,38.8,17.2,180,3800,male,2007,Adelie
26,Biscoe,35.3,18.9,187,3800,female,2007,Adelie
27,Biscoe,NA,18.6,183,3550,male,2007,Adelie
28,Biscoe,40.5,17.9,187,3200,female,2007,Adelie
29,Biscoe,37.9,18.6,172,3150,female,2007,Adelie
30,Biscoe,40.5,18.9,180,3950,male,2007,Adelie
31,Dream,39.5,16.7,178,3250,female,2007,Adelie
32,Dream,37.2,18.1,178,3900,male,2007,Adelie
33,Dream,39.5,17.8,188,3300,female,2007,Adelie
34,Dream,40.9,18.9,184,3900,male,2007,Adelie
35,Dream,36.4,17,195,3325,female,2007,Adelie
36,Dream,39.2,21.1,196,4150,male,2007,Adelie
37,Dream,38.8,20,190,3950,male,2007,Adelie
38,Dream,42.2,18.5,180,3550,female,2007,Adelie
39,Dream,37.6,19.3,181,3300,female,2007,Adelie
40,Dream,NA,19.1,184,4650,male,2007,Adelie
41,Dream,36.5,18,182,3150,female,2007,Adelie
42,Dream,40.8,18.4,195,3900,male,2007,Adelie
43,Dream,36,18.5,186,3100,female,2007,Adelie
44,Dream,44.1,19.7,196,4400,male,2007,Adelie
45,Dream,37,16.9,185,3000,female,2007,Adelie
46,Dream,39.6,18.8,190,4600,male,2007,Adelie
47,Dream,41.1,19,182,3425,male,2007,Adelie
48,Dream,37.5,18.9,179,2975,NA,2007,Adelie
49,Dream,36,17.9,190,3450,female,2007,Adelie
50,Dream,42.3,21.2,191,4150,male,2007,Adelie
153,Biscoe,46.1,13.2,211,4500,female,2007,Gentoo
154,Biscoe,50,16.3,230,5700,male,2007,Gentoo
155,Biscoe,48.7,14.1,210,4450,female,2007,Gentoo
156,Biscoe,50,15.2,218,5700,male,2007,Gentoo
157,Biscoe,47.6,14.5,215,5400,male,2007,Gentoo
158,Biscoe,46.5,13.5,210,4550,female,2007,Gentoo
159,Biscoe,45.4,14.6,211,4800,female,2007,Gentoo
160,Biscoe,46.7,15.3,219,5200,male,2007,Gentoo
161,Biscoe,43.3,13.4,209,4400,female,2007,Gentoo
162,Biscoe,46.8,15.4,215,5150,male,2007,Gentoo
163,Biscoe,40.9,13.7,214,4650,female,2007,Gentoo
164,Biscoe,49,16.1,216,5550,male,2007,Gentoo
165,Biscoe,45.5,13.7,214,4650,female,2007,Gentoo
166,Biscoe,48.4,14.6,213,5850,male,2007,Gentoo
167,Biscoe,45.8,14.6,210,4200,female,2007,Gentoo
168,Biscoe,49.3,15.7,217,5850,male,2007,Gentoo
169,Biscoe,42,13.5,210,4150,female,2007,Gentoo
170,Biscoe,49.2,15.2,221,6300,male,2007,Gentoo
171,Biscoe,46.2,14.5,209,4800,female,2007,Gentoo
172,Biscoe,48.7,15.1,222,5350,male,2007,Gentoo
173,Biscoe,50.2,14.3,218,5700,male,2007,Gentoo
174,Biscoe,45.1,14.5,215,5000,female,2007,Gentoo
175,Biscoe,46.5,14.5,213,4400,female,2007,Gentoo
176,Biscoe,46.3,15.8,215,5050,male,2007,Gentoo
177,Biscoe,42.9,13.1,215,5000,female,2007,Gentoo
178,Biscoe,46.1,15.1,215,5100,male,2007,Gentoo
179,Biscoe,44.5,14.3,216,4100,NA,2007,Gentoo
180,Biscoe,47.8,15,215,5650,male,2007,Gentoo
181,Biscoe,48.2,14.3,210,4600,female,2007,Gentoo
182,Biscoe,50,15.3,220,5550,male,2007,Gentoo
183,Biscoe,47.3,15.3,222,5250,male,2007,Gentoo
184,Biscoe,42.8,14.2,209,4700,female,2007,Gentoo
185,Biscoe,45.1,14.5,207,5050,female,2007,Gentoo
186,Biscoe,59.6,17,230,6050,male,2007,Gentoo
187,Biscoe,49.1,14.8,220,5150,female,2008,Gentoo
188,Biscoe,48.4,16.3,220,5400,male,2008,Gentoo
189,Biscoe,42.6,13.7,213,4950,female,2008,Gentoo
190,Biscoe,44.4,17.3,219,5250,male,2008,Gentoo
191,Biscoe,44,13.6,208,4350,female,2008,Gentoo
192,Biscoe,48.7,15.7,208,5350,male,2008,Gentoo
193,Biscoe,42.7,13.7,208,3950,female,2008,Gentoo
194,Biscoe,49.6,16,225,5700,male,2008,Gentoo
195,Biscoe,45.3,13.7,210,4300,female,2008,Gentoo
196,Biscoe,49.6,15,216,4750,male,2008,Gentoo
197,Biscoe,50.5,15.9,222,5550,male,2008,Gentoo
198,Biscoe,43.6,13.9,217,4900,female,2008,Gentoo
199,Biscoe,45.5,13.9,210,4200,female,2008,Gentoo
200,Biscoe,50.5,15.9,225,5400,male,2008,Gentoo
201,Biscoe,44.9,13.3,213,5100,female,2008,Gentoo
202,Biscoe,45.2,15.8,215,5300,male,2008,Gentoo
